현대차
삼화전기, 전기 제품, 4.4, 6, - 콘덴서 등 부품. 트랜스포머, 파워인덕터, 욕심. X, 신고가. 약 눌림.
셀트리온
본느
시노팩스
바이오스마트
뉴프렉스

한국항공우주
SDN
에스바이오메딕스

